"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"270","George Senesky",2.63414634146341,0.551,1.25,0.5,0,1,0
"271","Paul Seymour",6.24390243902439,0.529,2.1875,0.4,0,0,0
"272","Bill Sharman",6.98780487804878,0.581,3.875,0.565,2,1,1
"273","Brian Shaw",1.71951219512195,0.397,0,0,0,0,0
"274","Charley Shipp",0.426829268292683,0.229,0,0,0,0,0
"275","Gene Shue",20.0609756097561,0.477,4.8125,0.39,2,0,0
"276","Paul Silas",10.6707317073171,0.442,1.8125,0.448,0,0,0
"277","Scott Skiles",11.6829268292683,0.499,2.625,0.429,0,0,0
"278","Jerry Sloan",24.6829268292683,0.603,12.625,0.485,2,0,1
"279","Keith Smart",3.20731707317073,0.354,0,0,0,0,0
"280","Jack Smiley",0.329268292682927,0.407,0,0,0,0,0
"281","Quin Snyder",5.73170731707317,0.564,1.6875,0.37,0,0,0
"282","Albert Soar",0.231707317073171,0.105,0,0,0,0,0
"283","Erik Spoelstra",11.5487804878049,0.593,7.375,0.602,4,2,0
"284","Garry St. Jean",5.48780487804878,0.382,0.25,0.25,0,0,0
"285","Bob Staak",0.0121951219512195,0,0,0,0,0,0
"286","Larry Staverman",0.548780487804878,0.4,0,0,0,0,0
"287","Brad Stevens",6.73170731707317,0.563,3.5,0.482,0,0,0
"288","Terry Stotts",11.2073170731707,0.508,3.5,0.357,0,0,0
"289","Ken Suesens",0.75609756097561,0.355,0.1875,0.333,0,0,0
"290","Ed Tapscott",0.865853658536585,0.254,0,0,0,0,0
"291","Jerry Tarkanian",0.24390243902439,0.45,0,0,0,0,1
"292","Reggie Theus",1.29268292682927,0.415,0,0,0,0,0
"293","Tom Thibodeau",7.29268292682927,0.589,3.5,0.429,0,0,0
"294","Isiah Thomas",5,0.456,0.9375,0.333,0,0,0
"295","Rod Thorn",0.365853658536585,0.5,0,0,0,0,0
"296","Jim Todd",0.451219512195122,0.108,0,0,0,0,0
"297","Rolland Todd",1.68292682926829,0.297,0,0,0,0,0
"298","Mike Todorovich",0.51219512195122,0.333,0,0,0,0,0
"299","Rudy Tomjanovich",11.5,0.559,5.625,0.567,2,2,0
"300","Gene Tormohlen",0.0975609756097561,0.125,0,0,0,0,0
"301","Jay Triano",3.75609756097561,0.351,0,0,0,0,0
"302","Wes Unseld",6.67073170731707,0.369,0.3125,0.4,0,0,0
"303","Dick Van Arsdale",0.317073170731707,0.538,0,0,0,0,0
"304","Butch van Breda Kolff",6.32926829268293,0.513,2.0625,0.636,0,0,0
"305","Jeff Van Gundy",9.12195121951219,0.575,5.5,0.5,1,0,0
"306","Stan Van Gundy",11.0609756097561,0.577,5.6875,0.527,1,0,0
"307","Kiki Vandeweghe",0.780487804878049,0.188,0,0,0,0,0
"308","Jacque Vaughn",2.63414634146341,0.269,0,0,0,0,0
"309","Dick Versace",1.95121951219512,0.456,0.1875,0,0,0,0
"310","Sam Vincent",1,0.39,0,0,0,0,0
"311","Dick Vitale",1.14634146341463,0.362,0,0,0,0,0
"312","Frank Vogel",7.98780487804878,0.536,3.8125,0.508,0,0,0
"313","Darrell Walker",2.0609756097561,0.331,0,0,0,0,0
"314","Donnie Walsh",1.73170731707317,0.423,0.1875,0.333,0,0,0
"315","Luke Walton",3.74390243902439,0.407,0,0,0,0,0
"316","Bobby Wanzer",2.85365853658537,0.419,0.125,0,0,0,0
"317","Earl Watson",1.4390243902439,0.28,0,0,0,0,0
"318","Bob Weiss",6.36585365853659,0.427,0.6875,0.182,0,0,0
"319","Jerry West",3,0.589,1.375,0.364,0,0,0
"320","Paul Westhead",4.96341463414634,0.45,1.1875,0.684,1,1,0
"321","Paul Westphal",7.28048780487805,0.533,3.0625,0.551,1,0,0
"322","John Wetzel",1,0.341,0,0,0,0,0
"323","Lenny Wilkens",30.3292682926829,0.536,11.125,0.449,2,1,1
"324","Herb Williams",0.536585365853659,0.386,0,0,0,0,0
"325","Monty Williams",5.5609756097561,0.432,0.625,0.2,0,0,0
"326","Tex Winter",1.57317073170732,0.395,0,0,0,0,0
"327","Brian Winters",2.24390243902439,0.196,0,0,0,0,0
"328","Randy Wittman",8.34146341463415,0.406,1.3125,0.571,0,0,0
"329","Dave Wohl",2.18292682926829,0.363,0.1875,0,0,0,0
"330","Charles Wolf",4.02439024390244,0.433,1,0.438,0,0,0
"331","Mike Woodson",8.29268292682927,0.463,2.875,0.391,0,0,0
"332","Draff Young",0.0487804878048781,0,0,0,0,0,0
