"N","GR","WL%","PGR","PWL%","CC","C","HOF","Sport"
"Bucky Walters",1.27160493827161,0.397,0,0,0,0,0,"baseball"
"Bud Black",11.4135802469136,0.486,0.454545454545455,0.2,0,0,0,"baseball"
"Bud Carson",1.5625,0.46,0.666666666666667,0.5,0,0,0,"football"
"Bud Grant",16.1875,0.621,7.33333333333333,0.455,4,0,1,"football"
"Bud Harrelson",1.69135802469136,0.529,0,0,0,0,0,"baseball"
"Bud Wilkinson",1.8125,0.31,0,0,0,0,0,"football"
"Buddy Bell",7.67283950617284,0.418,0,0,0,0,0,"baseball"
"Buddy Jeannette",3.76829268292683,0.44,1.5,0.583,1,1,0,"basketball"
"Buddy Parker",11.75,0.581,1.33333333333333,0.75,2,2,0,"football"
"Buddy Ryan",6.9375,0.5,1,0,0,0,0,"football"
"Budge Garrett",0.375,0.667,0,0,0,0,0,"football"
"Bull Behman",2.5,0.394,0,0,0,0,0,"football"
"Bull Karcis",0.5,0,0,0,0,0,0,"football"
"Bulldog Turner",0.875,0.357,0,0,0,0,1,"football"
"Bum Phillips",9.9375,0.516,2.33333333333333,0.571,0,0,0,"football"
"Burl Friddle",0.524390243902439,0.326,0,0,0,0,0,"basketball"
"Burleigh Grimes",1.88888888888889,0.434,0,0,0,0,1,"baseball"
"Burt Shotton",9.0679012345679,0.477,1.09090909090909,0.333,2,0,0,"baseball"
"Buster Mills",0.0493827160493827,0.5,0,0,0,0,0,"baseball"
"Buster Ramsey",1.75,0.407,0,0,0,0,0,"football"
"Butch Beard",2,0.366,0,0,0,0,0,"basketball"
"Butch Carter",2.01219512195122,0.442,0.1875,0,0,0,0,"basketball"
"Butch Davis",3.6875,0.407,0.333333333333333,0,0,0,0,"football"
"Butch Goring",2.92682926829268,0.397129186602871,0.1875,0,0,0,0,"hockey"
"Butch Hobson",2.70987654320988,0.472,0,0,0,0,0,"baseball"
"Butch van Breda Kolff",6.32926829268293,0.513,2.0625,0.636,0,0,0,"basketball"
"Byron Scott",13.4268292682927,0.412,3.5625,0.579,2,0,0,"basketball"
"Cal Ermer",1.7037037037037,0.529,0,0,0,0,0,"baseball"
"Cal McVey",0.969135802469136,0.587,0,0,0,0,0,"baseball"
"Cal Ripken",1.04320987654321,0.402,0,0,0,0,0,"baseball"
"Cam Cameron",1,0.063,0,0,0,0,0,"football"
"Cap Anson",14.1234567901235,0.578,0,0,5,0,1,"baseball"
"Cap Edwards",1.9375,0.542,0,0,0,0,0,"football"
"Cap McEwan",1.3125,0.45,0,0,0,0,0,"football"
"Cap Raeder",0.0121951219512195,1,0,0,0,0,0,"hockey"
"Carl Bennett",0.0731707317073171,0,0,0,0,0,0,"basketball"
"Carl Braun",1.54878048780488,0.315,0,0,0,0,0,"basketball"
"Carl Storck",2.375,0.235,0,0,0,0,0,"football"
"Carl Voyles",0.875,0.143,0,0,0,0,0,"football"
"Carlos Tosca",2.35802469135802,0.5,0,0,0,0,0,"baseball"
"Casey Stengel",23.2469135802469,0.508,5.72727272727273,0.587,10,7,1,"baseball"
"Cecil Cooper",2.10493827160494,0.501,0,0,0,0,0,"baseball"
"Cecil Hart",4.80487804878049,0.610591900311526,2.3125,0.486,2,2,0,"hockey"
"Cecil Isbell",2.125,0.303,0.333333333333333,0,0,0,0,"football"
"Chan Gailey",5,0.425,0.666666666666667,0,0,0,0,"football"
"Charles Eckman",2.9390243902439,0.51,1.4375,0.435,0,0,0,"basketball"
"Charles Querrie",0.878048780487805,0.432835820895522,0,0,0,0,0,"hockey"
"Charles Wolf",4.02439024390244,0.433,1,0.438,0,0,0,"basketball"
"Charley Ewart",0.75,0.091,0,0,0,0,0,"football"
"Charley Moran",0.5,0.286,0,0,0,0,0,"football"
"Charley Rogers",0.625,0.5,0,0,0,0,0,"football"
"Charley Shipp",0.426829268292683,0.229,0,0,0,0,0,"basketball"
"Charley Winner",5.8125,0.5,0,0,0,0,0,"football"
"Charlie Brickley",0.125,0,0,0,0,0,0,"football"
"Charlie Buffinton",0.716049382716049,0.53,0,0,0,0,0,"baseball"
