"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"614","Harry Stovey",0.864197530864197,0.457,0,0,0,0,0
"615","Gabby Street",4.33333333333333,0.524,1.18181818181818,0.462,2,1,0
"616","Cub Stricker",0.141975308641975,0.261,0,0,0,0,0
"617","George Strickland",0.691358024691358,0.432,0,0,0,0,0
"618","Moose Stubing",0.0493827160493827,0,0,0,0,0,0
"619","Clyde Sukeforth",0.0123456790123457,1,0,0,0,0,0
"620","Billy Sullivan",0.981481481481482,0.513,0,0,0,0,0
"621","Haywood Sullivan",0.839506172839506,0.397,0,0,0,0,0
"622","Pat Sullivan",0.0185185185185185,0.667,0,0,0,0,0
"623","Ted Sullivan",1.65432098765432,0.5,0,0,0,0,0
"624","Dale Sveum",2.07407407407407,0.399,0.363636363636364,0.25,0,0,0
"625","Charlie Sweasy",0.117283950617284,0.211,0,0,0,0,0
"626","Bob Swift",0.611111111111111,0.566,0,0,0,0,0
"627","Chuck Tanner",16.9012345679012,0.495,0.909090909090909,0.7,1,1,0
"628","El Tappe",0.722222222222222,0.397,0,0,0,0,0
"629","George Taylor",0.672839506172839,0.385,0,0,0,0,0
"630","Zack Taylor",4.00617283950617,0.364,0,0,0,0,0
"631","Birdie Tebbetts",8.98148148148148,0.515,0,0,0,0,0
"632","Patsy Tebeau",8.26543209876543,0.555,0,0,0,0,0
"633","Gene Tenace",0.203703703703704,0.576,0,0,0,0,0
"634","Fred Tenney",3.80246913580247,0.334,0,0,0,0,0
"635","Bill Terry",9.23456790123457,0.555,1.45454545454545,0.438,3,1,1
"636","Fred Thomas",0.179012345679012,0.379,0,0,0,0,0
"637","Andrew Thompson",0.0555555555555556,0.25,0,0,0,0,0
"638","Jack Tighe",1.25308641975309,0.488,0,0,0,0,0
"639","Joe Tinker",3.85185185185185,0.497,0,0,1,0,1
"640","Jeff Torborg",8.34567901234568,0.469,0,0,0,0,0
"641","Joe Torre",26.7222222222222,0.538,12.9090909090909,0.592,6,4,1
"642","Carlos Tosca",2.35802469135802,0.5,0,0,0,0,0
"643","Dick Tracewski",0.0123456790123457,1,0,0,0,0,0
"644","Jim Tracy",10.716049382716,0.493,0.727272727272727,0.25,0,0,0
"645","Alan Trammell",3.01851851851852,0.382,0,0,0,0,1
"646","Pie Traynor",5.35802469135802,0.53,0,0,0,0,1
"647","Tom Trebelhorn",5.75308641975309,0.505,0,0,0,0,0
"648","Dave Trembley",2.90123456790123,0.398,0,0,0,0,0
"649","Sam Trott",0.0740740740740741,0.364,0,0,0,0,0
"650","Ted Turner",0.00617283950617284,0,0,0,0,0,0
"651","Bob Unglaub",0.179012345679012,0.31,0,0,0,0,0
"652","Bobby Valentine",14.5123456790123,0.504,2.18181818181818,0.542,1,0,0
"653","George Van Haltren",0.0679012345679012,0.091,0,0,0,0,0
"654","Gary Varsho",0.0123456790123457,0.5,0,0,0,0,0
"655","Robin Ventura",5,0.463,0,0,0,0,0
"656","Mickey Vernon",2.24074074074074,0.373,0,0,0,0,0
"657","Bill Virdon",11.8395061728395,0.519,1.36363636363636,0.4,0,0,0
"658","Ossie Vitt",2.85185185185185,0.57,0,0,0,0,0
"659","Chris Von Der Ahe",0.104938271604938,0.176,0,0,0,0,0
"660","John Vukovich",0.0679012345679012,0.545,0,0,0,0,0
"661","Heinie Wagner",0.950617283950617,0.338,0,0,0,0,0
"662","Honus Wagner",0.0308641975308642,0.2,0,0,0,0,1
"663","Don Wakamatsu",1.75308641975309,0.458,0,0,0,0,0
"664","Harry Walker",7.62345679012346,0.511,0,0,0,0,0
"665","Bobby Wallace",1.33950617283951,0.287,0,0,0,0,1
"666","Ed Walsh",0.0185185185185185,0.333,0,0,0,0,1
"667","Mike Walsh",0.679012345679012,0.63,0,0,0,0,0
"668","Bucky Walters",1.27160493827161,0.397,0,0,0,0,0
"669","John Waltz",0.0493827160493827,0.25,0,0,0,0,0
"670","John Ward",4.6358024691358,0.563,0,0,0,0,1
"671","Ron Washington",7.87037037037037,0.521,3.09090909090909,0.529,2,0,0
"672","John Wathan",3.98765432098765,0.505,0,0,0,0,0
"673","Bill Watkins",5.64197530864198,0.504,0,0,1,1,0
"674","Harvey Watkins",0.216049382716049,0.514,0,0,0,0,0
"675","Earl Weaver",15.6851851851852,0.583,4.18181818181818,0.565,4,1,1
"676","Eric Wedge",10,0.478,1,0.545,0,0,0
"677","Walt Weiss",4,0.437,0,0,0,0,0
"678","Wes Westrum",3.87037037037037,0.415,0,0,0,0,0
"679","Harry Wheeler",0.0246913580246914,0,0,0,0,0,0
"680","Deacon White",0.123456790123457,0.45,0,0,0,0,1
"681","Jo-Jo White",0.00617283950617284,1,0,0,0,0,0
"682","Warren White",0.290123456790123,0.191,0,0,0,0,0
"683","Will White",0.444444444444444,0.62,0,0,0,0,0
"684","Del Wilber",0.00617283950617284,1,0,0,0,0,0
"685","Kaiser Wilhelm",1.3641975308642,0.377,0,0,0,0,0
"686","Dick Williams",18.6604938271605,0.52,4,0.477,4,2,1
"687","Jimmy Williams",1.74074074074074,0.394,0,0,0,0,0
"688","Jimy Williams",10.5,0.535,1.27272727272727,0.357,0,0,0
"689","Matt Williams",2,0.552,0.363636363636364,0.25,0,0,0
"690","Ted Williams",3.9320987654321,0.429,0,0,0,0,1
"691","Maury Wills",0.512345679012346,0.317,0,0,0,0,0
"692","Jimmie Wilson",7.6358024691358,0.401,0,0,0,0,0
"693","Bobby Wine",0.253086419753086,0.39,0,0,0,0,0
"694","Ivey Wingo",0.0123456790123457,0.5,0,0,0,0,0
"695","Bobby Winkles",2.37037037037037,0.444,0,0,0,0,0
"696","Chicken Wolf",0.401234567901235,0.215,0,0,0,0,0
"697","Harry Wolverton",0.944444444444444,0.329,0,0,0,0,0
"698","George Wood",0.771604938271605,0.549,0,0,0,0,0
"699","Jimmy Wood",1.27160493827161,0.515,0,0,0,0,0
"700","Chris Woodward",1,0.481,0,0,0,0,0
"701","Al Wright",0.37037037037037,0.237,0,0,0,0,0
"702","George Wright",0.524691358024691,0.702,0,0,1,0,1
"703","Harry Wright",13.2407407407407,0.581,0,0,6,0,1
"704","Rudy York",0.00617283950617284,0,0,0,0,0,0
