"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"378","Lou Holtz",0.8125,0.231,0,0,0,0,0
"379","Jack Keogh",0.625,0.3,0,0,0,0,0
"380","Billy Marshall",0.9375,0.273,0,0,0,0,0
"381","Keith Molesworth",0.75,0.25,0,0,0,0,0
"382","Ted Nesser",1.1875,0.176,0,0,0,0,0
"383","Mike Palm",0.4375,0.5,0,0,0,0,0
"384","Pat Peppler",0.5625,0.333,0,0,0,0,0
"385","Bobby Petrino",0.8125,0.231,0,0,0,0,0
"386","Jim Ringo",1.4375,0.13,0,0,0,0,1
"387","Les Steckel",1,0.188,0,0,0,0,0
"388","Pete Stinchcomb",0.4375,0.429,0,0,0,0,0
"389","John Whelchel",0.4375,0.5,0,0,0,0,0
"390","Steve Wilks",1,0.188,0,0,0,0,0
"391","Pat Boland",0.375,0.4,0,0,0,0,0
"392","Johnny Bryan",0.9375,0.133,0,0,0,0,0
"393","Eddie Casey",0.6875,0.2,0,0,0,0,0
"394","Pete Cawthon",0.9375,0.133,0,0,0,0,0
"395","Jack Chevigny",0.625,0.25,0,0,0,0,0
"396","Al Cornsweet",0.625,0.2,0,0,0,0,0
"397","Luby DiMeolo",0.75,0.167,0,0,0,0,0
"398","Bob Dove",0.3125,0.5,0,0,0,0,0
"399","Chuck Drulis",0.125,1,0,0,0,0,0
"400","Marty Feldman",1.0625,0.118,0,0,0,0,0
"401","Budge Garrett",0.375,0.667,0,0,0,0,0
"402","Hank Gillo",0.4375,0.286,0,0,0,0,0
"403","Hal Hanson",0.75,0.222,0,0,0,0,0
"404","Mel Hein",0.1875,0.667,0,0,0,0,1
"405","Harvey Johnson",1.625,0.08,0,0,0,0,0
"406","Aaron Kromer",0.375,0.333,0,0,0,0,0
"407","Jim Leonard",0.625,0.2,0,0,0,0,0
"408","Ned Mathews",0.3125,0.5,0,0,0,0,0
"409","Harry Mehre",0.5625,0.286,0,0,0,0,0
"410","Wayne Millner",0.625,0.2,0,0,0,0,1
"411","Charley Moran",0.5,0.286,0,0,0,0,0
"412","Al Pierotti",0.3125,0.5,0,0,0,0,0
"413","Ray Prochaska",0.125,1,0,0,0,0,0
"414","Terry Robiskie",0.5,0.25,0,0,0,0,0
"415","Ted Shipkey",0.1875,0.667,0,0,0,0,0
"416","Herb Sies",0.5,0.4,0,0,0,0,0
"417","Jerry Smith",0.3125,0.4,0,0,0,0,0
"418","Mal Stevens",0.4375,0.333,0,0,0,0,0
"419","Chuck Studley",0.625,0.2,0,0,0,0,0
"420","Zac Taylor",1,0.125,0,0,0,0,0
"421","Gus Tebell",0.1875,1,0,0,0,0,0
"422","Joe Thomas",0.6875,0.182,0,0,0,0,0
"423","Mel Tucker",0.3125,0.4,0,0,0,0,0
"424","Rick Venturi",1.1875,0.105,0,0,0,0,0
"425","Carl Voyles",0.875,0.143,0,0,0,0,0
"426","Willie Wilkin",0.3125,0.5,0,0,0,0,0
"427","Ray Willsey",0.125,1,0,0,0,0,0
"428","Larry Wilson",0.1875,0.667,0,0,0,0,1
"429","Hoge Workman",0.625,0.2,0,0,0,0,0
"430","Shorty Barr",0.1875,0.333,0,0,0,0,0
"431","Tom Bettis",0.4375,0.143,0,0,0,0,0
"432","Hugo Bezdek",0.875,0.071,0,0,0,0,0
"433","Fred Bruney",0.0625,1,0,0,0,0,0
"434","Cam Cameron",1,0.063,0,0,0,0,0
"435","Bill Conkright",0.5625,0.111,0,0,0,0,0
"436","Mel Doherty",0.25,0.25,0,0,0,0,0
"437","Walt Driskill",0.5,0.125,0,0,0,0,0
"438","Charley Ewart",0.75,0.091,0,0,0,0,0
"439","Jack Fish",0.5625,0.125,0,0,0,0,0
"440","Fred Gillies",0.375,0.167,0,0,0,0,0
"441","Hinkey Haines",0.25,0.25,0,0,0,0,0
"442","Dick Hanley",0.1875,0.5,0,0,0,0,0
